No,コマンド,目的,解説
1,ls -la,ディレクトリ内容の確認,"現在のフォルダにあるファイルとフォルダを一覧表示。-l は詳細表示、-a は隠しファイルも表示"
2,node --version,Node.jsのバージョン確認,"Node.jsがインストールされているか、どのバージョンかを確認"
3,npm --version,npmのバージョン確認,"npm（パッケージマネージャー）がインストールされているか確認"
4,git --version,Gitのバージョン確認,"Gitがインストールされているか確認。GitHub連携に必要"
5,npm create vite@latest my-portfolio -- --template react,Vite+Reactプロジェクト作成,"Viteを使って新しいReactプロジェクトを作成。--template reactでReactテンプレートを指定"
6,npm install,依存関係のインストール,"package.jsonに記載されたライブラリをnode_modulesにダウンロード"
7,ls -la /home/nyaan/my-portfolio/,プロジェクト構成の確認,"作成されたプロジェクトのファイル一覧を確認"
8,npm run dev,開発サーバーの起動,"Viteの開発サーバーを起動。ホットリロード対応でブラウザで即時確認可能"
9,git init,Gitリポジトリの初期化,"プロジェクトをGitで管理開始。.gitフォルダが作成される"
10,git branch -m main,ブランチ名をmainに変更,"デフォルトのmasterからmainに変更（GitHub推奨）"
11,git config user.email / user.name,Git ユーザー設定,"コミット時に記録される名前とメールアドレスを設定"
12,git add .,全ファイルをステージング,"変更したファイルをコミット対象に追加"
13,git commit -m 'メッセージ',コミット作成,"ステージングしたファイルを履歴として保存"
14,git remote add origin <URL>,リモートリポジトリ登録,"GitHubのリポジトリURLを登録"
15,sudo apt install gh,GitHub CLI インストール,"GitHubをコマンドラインで操作するツールをインストール"
16,gh auth login,GitHub認証,"GitHub CLIでGitHubアカウントにログイン"
17,gh auth setup-git,Git認証連携,"GitコマンドでGitHub CLIの認証を使えるようにする"
18,git push -u origin main,GitHubにプッシュ,"ローカルのコミットをGitHubにアップロード。-uで追跡ブランチ設定"
19,mkdir -p .github/workflows,ワークフローフォルダ作成,"GitHub Actions用のディレクトリを作成。-pは親フォルダも一緒に作成"
20,git add . && git commit && git push,変更をプッシュ,"ファイル追加→コミット→プッシュを一度に実行"
21,git checkout --orphan temp-branch,履歴なしの新ブランチ作成,"過去の履歴を持たない新しいブランチを作成"
22,git branch -D main,ブランチ削除,"指定したブランチを強制削除。-Dは--delete --forceの略"
23,git branch -m main,ブランチ名変更,"現在のブランチ名をmainに変更"
24,git push -f origin main,強制プッシュ,"リモートの履歴を上書きしてプッシュ。-fはforce（強制）"
